Tipo convocatoria;Id convocatoria;ccaa;prv;circunscripcion;municipio;distrito;candidatura;votos;votos validos;votos censo;votos candidaturas;tipo de representante;representantes
4;202305;;;;;;TÚPATRIA;1.901;0,01;0,01;0,01;Concejales;1
4;202305;;;;;;AHORA DECIDE;1.889;0,01;0,01;0,01;Concejales;46
4;202305;;;;;;AHORA CANARIAS-PARTIDO COMUNISTA DEL PUEBLO CANARIO;1.886;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;AIPC/SYS;1.884;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;BENI-GAZLUM TOT PER BENICARLÓ;1.883;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;SA UNIÓ DE FORMENTERA (PP-COMPROMIS);1.870;0,01;0,01;0,01;Concejales;9
4;202305;;;;;;MÉS PER GIRONELLA;1.862;0,01;0,01;0,01;Concejales;11
4;202305;;;;;;FUERZA ECIJANA;1.846;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;SOMOS CALPE;1.844;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;UNIO PER BINISSALEM;1.839;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;ADIANTE MELIDE;1.830;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;RIANXO EN COMÚN;1.810;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;ALIANÇA CATALANA;1.806;0,01;0,01;0,01;Concejales;8
4;202305;;;;;;SUECA PER DAVANT;1.798;0,01;0,01;0,01;Concejales;3
4;202305;;;;;;VERDES EQUO ASTURIAS;1.787;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;AGRUPACIÓN INDEPENDIENTE DE SAN ANTONIO DE BENAGÉBER;1.783;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;POR GALAPAGAR;1.779;0,01;0,01;0,01;Concejales;2
